Profile Name,Start_Time,Duration,Title,Device_Type,Bookmark,Country,is kids 
Hilary,9/9/2023,0:39:55,A Time Called You: Episode 12,Mac Safari - Web Browser,0:05:07,US (United States),0
Hilary,12/4/2023,0:00:01,A Time Called You: Episode 11,Mac Safari - Web Browser,0:06:00,US (United States),0
Hilary,9/8/2023,0:22:34,A Time Called You: Episode 10,Mac Safari - Web Browser,0:39:31,US (United States),0
Hilary,9/8/2023,0:10:18,A Time Called You: Episode 9,Mac Safari - Web Browser,0:49:35,US (United States),0
Hilary,9/8/2023,0:25:52,A Time Called You: Episode 8,Mac Safari - Web Browser,0:26:05,US (United States),0
Hilary,9/8/2023,0:07:10,A Time Called You: Episode 7,Mac Safari - Web Browser,0:09:46,US (United States),0
Hilary,9/8/2023,0:00:01,A Time Called You: Episode 6,Mac Safari - Web Browser,0:45:23,US (United States),0
Hilary,9/8/2023,0:30:29,A Time Called You: Episode 1,Mac Safari - Web Browser,0:02:12,US (United States),0
Hilary,9/8/2023,0:39:50,A Time Called You: Episode 5,Mac Safari - Web Browser,0:32:23,US (United States),0
Hilary,9/8/2023,0:15:12,A Time Called You: Episode 4,Mac Safari - Web Browser,0:45:11,US (United States),0
Hilary,9/8/2023,0:10:46,A Time Called You: Episode 3,Mac Safari - Web Browser,0:42:42,US (United States),0
Hilary,9/8/2023,0:34:56,A Time Called You: Episode 2,Mac Safari - Web Browser,0:22:45,US (United States),0
Hilary,9/7/2023,0:01:28,Destined with You: Episode 6,Mac Safari - Web Browser,0:40:15,US (United States),0
Hilary,9/6/2023,0:08:18,Destined with You: Episode 5,Mac Safari - Web Browser,0:17:42,US (United States),0
Hilary,9/4/2023,0:21:21,Business Proposal: Episode 6,Mac Safari - Web Browser,0:51:48,US (United States),0
Hilary,9/4/2023,0:28:51,Business Proposal: Episode 5,Mac Safari - Web Browser,0:23:01,US (United States),0
Hilary,9/3/2023,0:06:58,Business Proposal: Episode 4,Mac Safari - Web Browser,0:39:24,US (United States),0
Hilary,9/3/2023,0:40:16,A Korean Odyssey: Episode 9,Mac Safari - Web Browser,0:34:41,US (United States),0
Hilary,9/3/2023,0:10:27,A Korean Odyssey: Episode 8,Mac Safari - Web Browser,0:46:26,US (United States),0
Hilary,9/3/2023,0:35:48,When I Fly Towards You: My Wish When I Was 17 Was About You,Mac Safari - Web Browser,0:12:19,US (United States),0
